id,skill_raw,taxonomy_id,skill_name,confidence_score,match_status
172,mediação de conflitos,2,Resolução de Conflitos,0.62993836,no_match
173,typescript frontend,35,TypeScript,0.6494988,no_match
174,integridade de dados,56,Qualidade de Dados,0.70583725,matched
175,sklearn,18,Metodologias Ágeis,0.28573114,no_match
176,Docker,62,Docker,0.5485464,no_match
177,OLAP,85,Hugging Face,0.29778454,no_match
178,user-centric thinking,88,Design Thinking,0.5960454,no_match
179,cloud data warehouse,67,Azure,0.72979987,matched
180,resolução de problemas complexos,6,Resolução de Problemas,0.84439003,matched
181,detecção de anomalias,46,Séries Temporais,0.5435326,no_match
182,cobertura de testes,72,Testes Automatizados,0.61912286,no_match
183,organizar tarefas,9,Gestão do Tempo,0.65949357,no_match
184,aws lambda,85,Hugging Face,0.22091259,no_match
185,business strategy,86,Gestão de Produto,0.6587728,no_match
186,deep learning development,40,Deep Learning,0.6742997,no_match
187,foco no usuário,15,Foco no Cliente,0.5710311,no_match
188,gestão de escopo,17,Gestão de Projetos,0.5397949,no_match
189,vendor negotiation,4,Negociação,0.62839955,no_match
190,modelos financeiros,91,Modelagem Financeira,0.78755385,matched
191,advanced SQL,31,SQL,0.70760995,matched
192,visualização de dados,38,Análise de Dados,0.6959652,no_match
193,RESTful API,80,Spark,0.19248825,no_match
194,financial modeling,91,Modelagem Financeira,0.8243681,matched
195,alinhar expectativas,26,Planejamento Estratégico,0.529822,no_match
196,frontend javascript,34,JavaScript,0.7233579,matched
197,regulatory knowledge,93,Compliance e Regulação,0.6465769,no_match
198,container deployment,63,Kubernetes,0.59512115,no_match
199,colaboração,12,Colaboração,0.6835506,no_match
200,data infrastructure,50,Engenharia de Dados,0.677935,no_match
201,langchain development,82,LangChain,0.57744133,no_match
202,shell scripting,37,Bash e Shell Script,0.77854633,matched
203,resolução de problemas,6,Resolução de Problemas,0.7970336,matched
204,problem solving,6,Resolução de Problemas,0.75450003,matched
205,people manager,0,Gestão de Pessoas,0.6165685,no_match
206,completude de dados,56,Qualidade de Dados,0.6905504,no_match
207,API architecture,80,Spark,0.3953057,no_match
208,image segmentation,47,Visão Computacional,0.57991016,no_match
209,testes de hipótese,48,Estatística Aplicada,0.6632953,no_match
210,tech mentor,24,Liderança Técnica,0.5660189,no_match
211,managing resistance to change,27,Gestão de Mudanças,0.6428641,no_match
212,data engineer,50,Engenharia de Dados,0.6351928,no_match
213,data transformation para modelos,32,R,0.5357237,no_match
214,looker reports,78,Looker,0.41839808,no_match
215,conformidade regulatória,93,Compliance e Regulação,0.6875112,no_match
216,resolução de conflitos,2,Resolução de Conflitos,0.74465215,matched
217,python,30,Python,0.6242019,no_match
218,desenvolvimento de equipes,97,Treinamento e Desenvolvimento,0.6897651,no_match
219,dbt transformations,79,dbt,0.7505636,matched
220,mentalidade empreendedora,29,Empreendedorismo,0.67849225,no_match
221,task prioritization,9,Gestão do Tempo,0.6786626,no_match
222,team collaboration,12,Colaboração,0.72901785,matched
223,conflict resolution,2,Resolução de Conflitos,0.72221196,matched
224,customer-centric,15,Foco no Cliente,0.65991807,no_match
225,descoberta de produto,13,Visão de Produto,0.46471238,no_match
226,time series forecasting,46,Séries Temporais,0.6514238,no_match
227,negotiation,4,Negociação,0.7709371,matched
228,design técnico,73,Arquitetura de Software,0.55494714,no_match
229,trabalhar em time,12,Colaboração,0.60714054,no_match
230,human-centered design,88,Design Thinking,0.5549542,no_match
231,audience engagement,21,Apresentação e Oratória,0.69510835,no_match
232,microsserviços,74,Microsserviços,0.72577417,matched
233,product development,86,Gestão de Produto,0.56770074,no_match
234,resolver problemas,6,Resolução de Problemas,0.7238544,matched
235,TS,79,dbt,0.29213408,no_match
236,image recognition,47,Visão Computacional,0.7002804,matched
237,resilience,8,Adaptabilidade,0.3936024,no_match
238,programação em python,30,Python,0.73023427,matched
239,yarn,30,Python,0.22043547,no_match
240,scrum,18,Metodologias Ágeis,0.3228929,no_match
241,variáveis preditivas,46,Séries Temporais,0.57451385,no_match
242,statistics,32,R,0.46404612,no_match
243,normalização de dados,38,Análise de Dados,0.5435184,no_match
244,modelos de ML,83,MLflow,0.60573155,no_match
245,facilitar reuniões,19,Facilitação,0.73969316,matched
246,organizational growth,95,Desenvolvimento Organizacional,0.7424428,matched
247,ideation,28,Inovação,0.48114508,no_match
248,dados temporais,46,Séries Temporais,0.65778434,no_match
249,interpersonal communication,1,Comunicação Assertiva,0.61335135,no_match
250,intrapreneurship,29,Empreendedorismo,0.5529158,no_match
251,contract negotiation,4,Negociação,0.73912644,matched
252,power bi service,75,Power BI,0.6796447,no_match
253,data exploration,38,Análise de Dados,0.77359205,matched
254,classification models,43,Embeddings e Busca Vetorial,0.49882787,no_match
255,SOLID,63,Kubernetes,0.18883206,no_match
256,advanced python,30,Python,0.64176095,no_match
257,trabalho independente,10,Autogestão,0.49661282,no_match
258,R language,32,R,0.69414437,no_match
259,deliver presentations,21,Apresentação e Oratória,0.6694595,no_match
260,construção de APIs,85,Hugging Face,0.3725332,no_match
261,completude de dados,56,Qualidade de Dados,0.6905504,no_match
262,growth mindset,23,Mentoria,0.54819196,no_match
263,python para dados,30,Python,0.71036243,matched
264,coaching de pessoas,23,Mentoria,0.5487284,no_match
265,automação de testes,72,Testes Automatizados,0.82508194,matched
266,orientação ao cliente,15,Foco no Cliente,0.79203117,matched
267,data analysis,38,Análise de Dados,0.7930504,matched
268,gerir colaboradores,12,Colaboração,0.7117192,matched
269,kubernetes scaling,63,Kubernetes,0.47479194,no_match
270,conformidade regulatória,93,Compliance e Regulação,0.6875112,no_match
271,gestão de produto,86,Gestão de Produto,0.73747784,matched
272,retrieval augmented generation,59,Redis,0.4734978,no_match
273,service mesh,68,Infrastructure as Code,0.46706462,no_match
274,streaming de dados,53,Streaming de Dados,0.72886777,matched
275,prioritization,9,Gestão do Tempo,0.5345387,no_match
276,talent acquisition,11,Aprendizado Contínuo,0.5535433,no_match
277,PostgreSQL,57,PostgreSQL,0.78296953,matched
278,machine learning models,39,Machine Learning,0.79579353,matched
279,gestão de conflitos,2,Resolução de Conflitos,0.617344,no_match
280,mentoria,21,Apresentação e Oratória,0.33057863,no_match
281,mentalidade adaptativa,8,Adaptabilidade,0.7547715,matched
282,análise de decisão,7,Tomada de Decisão,0.71490896,matched
283,root cause analysis,6,Resolução de Problemas,0.44076532,no_match
284,aprendizado supervisionado,39,Machine Learning,0.60337275,no_match
285,validação de dados,56,Qualidade de Dados,0.6294941,no_match
286,facilitation techniques,19,Facilitação,0.61041737,no_match
287,PySpark,19,Facilitação,0.32702136,no_match
288,versatility,8,Adaptabilidade,0.43664914,no_match
289,pensar no longo prazo,16,Pensamento Estratégico,0.6453444,no_match
290,apresentar ideias,28,Inovação,0.5221209,no_match
291,influenciar sem autoridade,10,Autogestão,0.5339396,no_match
292,REST API,85,Hugging Face,0.17919305,no_match
293,build automation,68,Infrastructure as Code,0.51703143,no_match
294,hadoop,81,Hadoop,0.4035165,no_match
295,cache distribuído,59,Redis,0.6710348,no_match
296,sistemas distribuídos,81,Hadoop,0.51877296,no_match
297,aws cloud,67,Azure,0.5515939,no_match
298,experiência do usuário,15,Foco no Cliente,0.5279356,no_match
299,lean agile,73,Arquitetura de Software,0.47854975,no_match
300,critical judgment,5,Pensamento Crítico,0.62181973,no_match
301,promover cultura,99,Cultura Organizacional,0.66523564,no_match
302,google cloud data,66,Google Cloud Platform,0.7315759,matched
303,gestão de stakeholders,25,Gestão de Stakeholders,0.77467024,matched
304,performance de modelos,45,Avaliação de Modelos,0.62340957,no_match
305,metas e resultados,26,Planejamento Estratégico,0.58392435,no_match
306,team management,0,Gestão de Pessoas,0.6157359,no_match
307,scripting python,30,Python,0.63515157,no_match
308,avaliação de LLMs em produção,45,Avaliação de Modelos,0.5803168,no_match
309,embedding models,54,Modelagem de Dados,0.5491687,no_match
310,neural nets,40,Deep Learning,0.583574,no_match
311,observabilidade,89,OKRs,0.4219209,no_match
312,criação de variáveis,90,Análise Financeira,0.42215225,no_match
313,gerenciar projetos,17,Gestão de Projetos,0.87670124,matched
314,comunicação profissional,1,Comunicação Assertiva,0.6724735,no_match
315,react,2,Resolução de Conflitos,0.4594935,no_match
316,data protection,70,Segurança de Dados,0.80116045,matched
317,streaming de dados,53,Streaming de Dados,0.72886777,matched
318,maturidade emocional,3,Inteligência Emocional,0.6034117,no_match
319,github actions,71,Versionamento de Código,0.6694172,no_match
320,tableau analytics,76,Tableau,0.7255267,matched
321,context switching,8,Adaptabilidade,0.49398383,no_match
322,planejamento anual,26,Planejamento Estratégico,0.51734716,no_match
323,airflow,52,Orquestração de Pipelines,0.4031482,no_match
324,cache distribuído,59,Redis,0.6710348,no_match
325,k8s,63,Kubernetes,0.29004583,no_match
326,aprendizado não supervisionado,39,Machine Learning,0.6167136,no_match
327,visualização de dados,38,Análise de Dados,0.6959652,no_match
328,governança de dados,50,Engenharia de Dados,0.5791453,no_match
329,lang chain,52,Orquestração de Pipelines,0.30082476,no_match
330,reconhecimento de imagens,47,Visão Computacional,0.69519484,no_match
331,cultura de inovação,28,Inovação,0.7403842,matched
332,spark streaming,80,Spark,0.5810472,no_match
333,inferência estatística,48,Estatística Aplicada,0.6412111,no_match
334,typescript development,35,TypeScript,0.58786285,no_match
335,drive innovation,28,Inovação,0.50199085,no_match
336,python para dados,30,Python,0.71036243,matched
337,DQ,89,OKRs,0.32366356,no_match
338,aprendizado de máquina,39,Machine Learning,0.79799414,matched
339,gestão de mudanças,27,Gestão de Mudanças,0.74256575,matched
340,git,89,OKRs,0.26493335,no_match
341,desenvolvimento de colaboradores,12,Colaboração,0.7051958,matched
342,financial modeling,91,Modelagem Financeira,0.824368,matched
343,customer empathy,15,Foco no Cliente,0.5216717,no_match
344,raciocínio lógico,5,Pensamento Crítico,0.44073755,no_match
345,stakeholder communication,1,Comunicação Assertiva,0.6090288,no_match
346,javascript,34,JavaScript,0.53924614,no_match
347,precision recall,59,Redis,0.32380593,no_match
348,documentation,22,Escrita Profissional,0.5059049,no_match
349,product owner,86,Gestão de Produto,0.55566156,no_match
350,comunicar bem,1,Comunicação Assertiva,0.6022554,no_match
351,cloudformation,67,Azure,0.6220809,no_match
352,long-term thinking,16,Pensamento Estratégico,0.62671363,no_match
353,functional scala,36,Scala,0.5627993,no_match
354,project execution,17,Gestão de Projetos,0.6866058,no_match
355,classification models,43,Embeddings e Busca Vetorial,0.49882787,no_match
356,avaliar modelos,45,Avaliação de Modelos,0.6293387,no_match
357,python para dados,30,Python,0.71036243,matched
358,arquitetura limpa,68,Infrastructure as Code,0.4259534,no_match
359,financial statements analysis,90,Análise Financeira,0.7472188,matched
360,power bi analytics,75,Power BI,0.75167763,matched
361,desenvolvimento organizacional,95,Desenvolvimento Organizacional,0.78546906,matched
362,prefect,24,Liderança Técnica,0.31329998,no_match
363,innovative solutions,28,Inovação,0.5712594,no_match
364,spreadsheets,77,Excel Avançado,0.37748995,no_match
365,registro de modelos,54,Modelagem de Dados,0.53497624,no_match
366,testes de hipótese,48,Estatística Aplicada,0.6632953,no_match
367,pipeline scheduling,84,Langfuse,0.4890586,no_match
368,tomada de decisão,7,Tomada de Decisão,0.66224897,no_match
369,comunicação escrita,22,Escrita Profissional,0.73534894,matched
370,TypeScript,35,TypeScript,0.544736,no_match
371,vector store,73,Arquitetura de Software,0.31180808,no_match
372,database queries,31,SQL,0.734993,matched
373,dbt cloud,66,Google Cloud Platform,0.57747,no_match
374,comunicação escrita,22,Escrita Profissional,0.73534894,matched
375,deploy automatizado,64,CI/CD,0.48867995,no_match
376,planejar estrategicamente,26,Planejamento Estratégico,0.74274385,matched
377,balance sheet analysis,54,Modelagem de Dados,0.41401127,no_match
378,creative problem solving,6,Resolução de Problemas,0.65699613,no_match
379,resolver divergências,2,Resolução de Conflitos,0.60338414,no_match
380,agilidade de aprendizado,11,Aprendizado Contínuo,0.7074499,matched
381,decision-making,7,Tomada de Decisão,0.65856624,no_match
382,containers,63,Kubernetes,0.5194764,no_match
383,fine-tuning LLMs,42,Large Language Models,0.5268612,no_match
384,user-centric thinking,88,Design Thinking,0.5960454,no_match
385,openness to change,8,Adaptabilidade,0.48459852,no_match
386,adaptability,8,Adaptabilidade,0.7740493,matched
387,big data spark,80,Spark,0.61266506,no_match
388,embeddings,43,Embeddings e Busca Vetorial,0.43343812,no_match
389,práticas ágeis,18,Metodologias Ágeis,0.47542065,no_match
390,system monitoring,69,Monitoramento e Observabilidade,0.6930437,no_match
391,DW,89,OKRs,0.31303543,no_match
392,unittest,12,Colaboração,0.2911353,no_match
393,foco no usuário,15,Foco no Cliente,0.5710311,no_match
394,comunicação com stakeholders,1,Comunicação Assertiva,0.6256533,no_match
395,professional writing,22,Escrita Profissional,0.7505624,matched
396,scope management,86,Gestão de Produto,0.577307,no_match
397,escrita clara,22,Escrita Profissional,0.55620146,no_match
398,senso de produto,13,Visão de Produto,0.65706635,no_match
399,programar em python,30,Python,0.72759616,matched
400,employer brand,98,Employer Branding,0.6911664,no_match
401,power bi desktop,75,Power BI,0.5280056,no_match
402,lang chain,52,Orquestração de Pipelines,0.30082476,no_match
403,compliance e regulação,93,Compliance e Regulação,0.7803806,matched
404,trabalhar sem supervisão,10,Autogestão,0.5543239,no_match
405,retrieval augmented generation,59,Redis,0.4734978,no_match
406,comunicação com stakeholders,1,Comunicação Assertiva,0.6256533,no_match
407,emotional management,3,Inteligência Emocional,0.70863616,matched
408,salary negotiation,4,Negociação,0.51151484,no_match
409,strategic thinking,16,Pensamento Estratégico,0.76329565,matched
410,liderança de engenharia,24,Liderança Técnica,0.8150947,matched
411,Python,30,Python,0.6242019,no_match
412,risk analysis,92,Gestão de Riscos,0.7076024,matched
413,people care,0,Gestão de Pessoas,0.44068187,no_match
414,data security,70,Segurança de Dados,0.83788353,matched
415,data cleaning,38,Análise de Dados,0.6714107,no_match
416,fechar acordos,4,Negociação,0.52539945,no_match
417,LookML,85,Hugging Face,0.43548197,no_match
418,decision-making,7,Tomada de Decisão,0.65856624,no_match
419,planilhas,85,Hugging Face,0.28033513,no_match
420,risk taking,92,Gestão de Riscos,0.6154988,no_match
421,postgresql optimization,57,PostgreSQL,0.8014901,matched
422,context switching,8,Adaptabilidade,0.49398392,no_match
423,ggplot2,32,R,0.42281282,no_match
424,SQL writing,31,SQL,0.6683915,no_match
425,fastapi,85,Hugging Face,0.29686445,no_match
426,sentiment analysis,3,Inteligência Emocional,0.48156676,no_match
427,LLM development,42,Large Language Models,0.4663835,no_match
428,logging,69,Monitoramento e Observabilidade,0.46987492,no_match
429,compelling data presentations,20,Storytelling com Dados,0.6866529,no_match
430,product strategy,86,Gestão de Produto,0.7261097,matched
431,scala functional programming,36,Scala,0.6218997,no_match
432,SQL avançado,31,SQL,0.72010183,matched
433,airflow,52,Orquestração de Pipelines,0.4031482,no_match
434,self-management,10,Autogestão,0.66714454,no_match
435,culture of innovation,28,Inovação,0.7422633,matched
436,FastAPI backend,61,FastAPI,0.38990057,no_match
437,API development,97,Treinamento e Desenvolvimento,0.4454167,no_match
438,command line scripting,37,Bash e Shell Script,0.63932157,no_match
439,pipeline scheduling,84,Langfuse,0.4890586,no_match
440,API REST,85,Hugging Face,0.20525399,no_match
441,discounted cash flow,90,Análise Financeira,0.44395047,no_match
442,empathy mapping,3,Inteligência Emocional,0.5448259,no_match
443,data orientation,38,Análise de Dados,0.48453754,no_match
444,agilidade,11,Aprendizado Contínuo,0.44849014,no_match
445,LLMs,42,Large Language Models,0.49955106,no_match
446,azure machine learning,39,Machine Learning,0.7181624,matched
447,technical team guidance,24,Liderança Técnica,0.69243026,no_match
448,normalização de dados,38,Análise de Dados,0.5435184,no_match
449,gerenciamento de riscos,92,Gestão de Riscos,0.79569477,matched
450,infrastructure provisioning,68,Infrastructure as Code,0.6725987,no_match
451,tomar decisões,7,Tomada de Decisão,0.66308266,no_match
452,pytest,61,FastAPI,0.28006607,no_match
453,cache redis,59,Redis,0.685235,no_match
454,projeções financeiras,91,Modelagem Financeira,0.6540681,no_match
455,TypeScript,35,TypeScript,0.544736,no_match
456,salary negotiation,4,Negociação,0.51151484,no_match
457,programação java,42,Large Language Models,0.42048216,no_match
458,indicadores-chave,69,Monitoramento e Observabilidade,0.48853362,no_match
459,angular,85,Hugging Face,0.2214264,no_match
460,pitching,28,Inovação,0.19448209,no_match
461,extração de features,38,Análise de Dados,0.51303214,no_match
462,independent services,10,Autogestão,0.46777776,no_match
463,kubernetes pods,74,Microsserviços,0.3832092,no_match
464,amazon web services,65,AWS,0.7309272,matched
465,data integrity,56,Qualidade de Dados,0.6944032,no_match
466,testes unitários,72,Testes Automatizados,0.6536423,no_match
467,HDFS,59,Redis,0.4710118,no_match
468,gerenciamento de pessoas,0,Gestão de Pessoas,0.70291996,matched
469,mapa de empatia,3,Inteligência Emocional,0.5363872,no_match
470,avaliação de desempenho,96,Gestão de Desempenho,0.70468557,matched
471,javascript,34,JavaScript,0.53924614,no_match
472,GIT,89,OKRs,0.26493332,no_match
473,agile frameworks,73,Arquitetura de Software,0.5547918,no_match
474,entrevistas de emprego,22,Escrita Profissional,0.4712309,no_match
475,self-management,10,Autogestão,0.66714454,no_match
476,risk-based decision,7,Tomada de Decisão,0.7051237,matched
477,SLI SLO SLA,85,Hugging Face,0.23039012,no_match
478,gke,89,OKRs,0.3222846,no_match
479,strategic mindset,16,Pensamento Estratégico,0.74327624,matched
480,valores organizacionais,99,Cultura Organizacional,0.5823738,no_match
481,mineração de texto,22,Escrita Profissional,0.5439738,no_match
482,stakeholder management,25,Gestão de Stakeholders,0.76936364,matched
483,ser mentor,23,Mentoria,0.61830467,no_match
484,problem solving,6,Resolução de Problemas,0.75450027,matched
485,mediation skills,1,Comunicação Assertiva,0.51851106,no_match
486,java,89,OKRs,0.29402286,no_match
487,análise de vídeo,47,Visão Computacional,0.66923046,no_match
488,PSQL,31,SQL,0.54455435,no_match
489,autonomous work,10,Autogestão,0.57169145,no_match
490,python scripting,30,Python,0.63624245,no_match
